analysis_id	source_analysis_id	status	skip_reason	af_source	ancestry_reference_id	original_sd	original_sd_method	n_variants_considered	n_variants_overlapping	n_variants_excluded_ambiguous	n_variants_excluded_mismatch	n_variants_excluded_missing_af	n_variants_excluded_maf	n_variants_retained	maf_min	maf_max	implied_sd_median	sd_dispersion	estimator_version	sd_notes
GCST003837	GCST003837	passed		source		1.01208	estimated_from_source_maf	16972468						20000	0.01	0.5	1.01208	0.021352	opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	
GCST003839	GCST003839	passed		source		1.03948	estimated_from_source_maf	16703130						20000	0.01	0.5	1.03948	0.0404988	opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	
GCST003898	GCST003898	passed		source		0.79679	estimated_from_source_maf	926747						20000	0.01	0.5	0.79679	0.0139046	opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	
GCST003900	GCST003900	skipped	non_quantitative_effect_scale				binary_trait								0.01	0.5			opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	case-control effect scale; phenotype-SD estimation not applicable
GCST003965	GCST003965	failed	no_qualifying_evidence	source			estimated_from_source_maf	0						0	0.01	0.5			opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	unavailable: no_qualifying_evidence
GCST003966	GCST003966	failed	no_qualifying_evidence	source			estimated_from_source_maf	0						0	0.01	0.5			opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	unavailable: no_qualifying_evidence
GCST003967	GCST003967	failed	no_qualifying_evidence	source			estimated_from_source_maf	0						0	0.01	0.5			opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	unavailable: no_qualifying_evidence
GCST003968	GCST003968	failed	no_qualifying_evidence	source			estimated_from_source_maf	0						0	0.01	0.5			opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	unavailable: no_qualifying_evidence
GCST003969	GCST003969	failed	no_qualifying_evidence	source			estimated_from_source_maf	0						0	0.01	0.5			opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	unavailable: no_qualifying_evidence
GCST003970	GCST003970	failed	no_qualifying_evidence	source			estimated_from_source_maf	0						0	0.01	0.5			opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	unavailable: no_qualifying_evidence
GCST003971	GCST003971	failed	no_qualifying_evidence	source			estimated_from_source_maf	0						0	0.01	0.5			opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	unavailable: no_qualifying_evidence
GCST003972	GCST003972	failed	no_qualifying_evidence	source			estimated_from_source_maf	0						0	0.01	0.5			opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	unavailable: no_qualifying_evidence
GCST003973	GCST003973	failed	no_qualifying_evidence	source			estimated_from_source_maf	0						0	0.01	0.5			opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	unavailable: no_qualifying_evidence
GCST004030	GCST004030	skipped	non_quantitative_effect_scale				binary_trait								0.01	0.5			opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	case-control effect scale; phenotype-SD estimation not applicable
GCST004074	GCST004074	failed	no_qualifying_evidence	source			estimated_from_source_maf	0						0	0.01	0.5			opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	unavailable: no_qualifying_evidence
GCST004075	GCST004075	failed	no_qualifying_evidence	source			estimated_from_source_maf	0						0	0.01	0.5			opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	unavailable: no_qualifying_evidence
GCST004076	GCST004076	failed	no_qualifying_evidence	source			estimated_from_source_maf	0						0	0.01	0.5			opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	unavailable: no_qualifying_evidence
GCST004137	GCST004137	failed	no_qualifying_evidence	source			estimated_from_source_maf	0						0	0.01	0.5			opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	unavailable: no_qualifying_evidence
GCST004158	GCST004158	failed	no_qualifying_evidence	source			estimated_from_source_maf	0						0	0.01	0.5			opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	unavailable: no_qualifying_evidence
GCST004162	GCST004162	passed		source		1.10486	estimated_from_source_maf	8929274						20000	0.01	0.5	1.10486	0.0144353	opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	
GCST004198	GCST004198	failed	no_qualifying_evidence	source			estimated_from_source_maf	0						0	0.01	0.5			opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	unavailable: no_qualifying_evidence
GCST004292	GCST004292	passed		source		0.248093	estimated_from_source_maf	7919						7919	0.01	0.5	0.248093	0.0617522	opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	
GCST004293	GCST004293	passed		source		0.276072	estimated_from_source_maf	5569						5569	0.01	0.5	0.276072	0.0873878	opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	
GCST004296	GCST004296	skipped	non_quantitative_effect_scale				binary_trait								0.01	0.5			opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	case-control effect scale; phenotype-SD estimation not applicable
GCST004364	GCST004364	passed		source		1.20289	estimated_from_source_maf	12101153						20000	0.01	0.5	1.20289	9.40985e-06	opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	
