analysis_id	source_analysis_id	source_ancestry_label	assigned_ancestry	ancestry_assignment_method	ancestry_reference_id	af_overlap	dominant_superpop	dominant_proportion	runner_up_margin	nnls_residual	gate_reason	eaf_orientation	eaf_orientation_r	source_assigned_mismatch	ancestry_notes	ancestry_prop_AFR	ancestry_prop_AMR	ancestry_prop_EAS	ancestry_prop_EUR	ancestry_prop_MID	ancestry_prop_NAF	ancestry_prop_SAS
GCST90010715	GCST90010715	European		unassigned	ref_freqs.hg38.tsv.gz	0		0	0		overlap	unverified										
GCST90010716	GCST90010716	European	EUR	af_assigned	ref_freqs.hg38.tsv.gz	50000	EUR	0.996811	0.993622	0.00997178	ok	passed	0.977878	false		0	0.00318917	0	0.996811	0	0	0
GCST90010717	GCST90010717	European	EUR	af_assigned	ref_freqs.hg38.tsv.gz	50000	EUR	0.996777	0.993555	0.00997971	ok	passed	0.977877	false		0	0.0032226	0	0.996777	0	0	0
GCST90010718	GCST90010718	European	EUR	af_assigned	ref_freqs.hg38.tsv.gz	50000	EUR	0.996716	0.993433	0.0100101	ok	passed	0.977875	false		0	0.00328351	0	0.996716	0	0	0
GCST90011766	GCST90011766	European		unassigned	ref_freqs.hg38.tsv.gz	0		0	0		overlap	unverified										
GCST90011767	GCST90011767	European		unassigned	ref_freqs.hg38.tsv.gz	0		0	0		overlap	unverified										
GCST90011770	GCST90011770	European		unassigned	ref_freqs.hg38.tsv.gz	0		0	0		overlap	unverified										
GCST90011785	GCST90011785	European	EUR	af_assigned	ref_freqs.hg38.tsv.gz	50000	EUR	0.987445	0.975127	0.0282216	ok	passed	0.969573	false		0	0.000236508	0	0.987445	0	0.0123183	0
GCST90011786	GCST90011786	European	EUR	af_assigned	ref_freqs.hg38.tsv.gz	50000	EUR	0.98989	0.97978	0.0283846	ok	passed	0.96943	false		0	0	0	0.98989	0	0.0101101	0
GCST90011787	GCST90011787	European	EUR	af_assigned	ref_freqs.hg38.tsv.gz	50000	EUR	0.987496	0.974992	0.0282136	ok	passed	0.969459	false		0	0	0	0.987496	0	0.0125042	0
GCST90011788	GCST90011788	European	EUR	af_assigned	ref_freqs.hg38.tsv.gz	50000	EUR	0.988373	0.976746	0.0283499	ok	passed	0.969302	false		0	0	0	0.988373	0	0.0116271	0
GCST90011789	GCST90011789	European	EUR	af_assigned	ref_freqs.hg38.tsv.gz	50000	EUR	1	1	0.0378922	ok	passed	0.965362	false		0	0	0	1	0	0	0
GCST90011790	GCST90011790	European	EUR	af_assigned	ref_freqs.hg38.tsv.gz	50000	EUR	0.997504	0.995008	0.0382609	ok	passed	0.965545	false		0	0	0.00249582	0.997504	0	0	0
GCST90011791	GCST90011791	European	EUR	af_assigned	ref_freqs.hg38.tsv.gz	50000	EUR	0.994968	0.990701	0.0397904	ok	passed	0.964857	false		0	0.000766185	0.00426624	0.994968	0	0	0
GCST90011792	GCST90011792	European	EUR	af_assigned	ref_freqs.hg38.tsv.gz	50000	EUR	0.994698	0.989397	0.0384489	ok	passed	0.965332	false		0	0.0053016	0	0.994698	0	0	0
GCST90011804	GCST90011804	European		unassigned	ref_freqs.hg38.tsv.gz	0		0	0		overlap	unverified										
GCST90011806	GCST90011806	European		unassigned	ref_freqs.hg38.tsv.gz	0		0	0		overlap	unverified										
GCST90011808	GCST90011808	European		unassigned	ref_freqs.hg38.tsv.gz	0		0	0		overlap	unverified										
GCST90011809	GCST90011809	European		unassigned	ref_freqs.hg38.tsv.gz	0		0	0		overlap	unverified										
GCST90011810	GCST90011810	European		unassigned	ref_freqs.hg38.tsv.gz	0		0	0		overlap	unverified										
GCST90011811	GCST90011811	European		unassigned	ref_freqs.hg38.tsv.gz	0		0	0		overlap	unverified										
GCST90011812	GCST90011812	European		unassigned	ref_freqs.hg38.tsv.gz	0		0	0		overlap	unverified										
GCST90011813	GCST90011813	European		unassigned	ref_freqs.hg38.tsv.gz	0		0	0		overlap	unverified										
GCST90011814	GCST90011814	European		unassigned	ref_freqs.hg38.tsv.gz	0		0	0		overlap	unverified										
